FAUX;Rosemarie;Antille;f;VS;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1991-11-24;1989-01-31;
FAUX;Charles-Albert;Antille;m;VS;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2003-11-30;1998-04-27;
FAUX;Antonio;Antognini;m;TI;CE;Groupe conservateur-catholique sociale;Président(e);Conservateurs;1963-12-01;1943-03-29;
FAUX;Antonio;Antognini;m;TI;CN;Groupe conservateur-catholique;Membre;Conservateurs;1943-03-01;1935-12-02;
FAUX;Francesco;Antognini;m;TI;CN;Groupe conservateur-catholique;Membre;Conservateurs;1922-12-03;1919-12-01;
FAUX;Antonio;Antognini;m;TI;CE;Groupe conservateur-catholique sociale;Membre;Conservateurs;1963-12-01;1943-03-29;
FAUX;Secondo-Vittorio;Antognini;m;TI;CN;Groupe conservateur-catholique;Membre;Conservateurs;1924-11-30;1923-07-01;
FAUX;Antonio;Antognini;m;TI;CE;Groupe conservateur-catholique;Membre;Conservateurs;1963-12-01;1943-03-29;
FAUX;Manfred;Aregger;m;LU;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1999-12-05;1995-12-04;
FAUX;Manfred;Aregger;m;LU;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1995-12-03;1979-11-26;
FAUX;Willy;Arni;m;SO;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1967-12-03;1947-12-01;
FAUX;Max;Arnold;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1971-11-28;1951-12-03;
VRAI;Beat;Arnold;m;UR;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;;2015-11-30;
FAUX;Emil;Arnold;m;BS;CN;Groupe communiste;Membre;Parti communiste;1934-03-01;1932-09-20;
FAUX;Leo;Arnold;m;UR;CE;Groupe démocrate-chrétien;Membre;Parti démocrate-chrétien suisse;1987-11-29;1971-11-29;
FAUX;Max;Arnold;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1975-11-30;1975-09-22;
FAUX;Eduard;Arnold;m;LU;CN;Groupe socialiste;Membre;Parti socialiste suisse;1942-12-17;1935-12-02;
FAUX;Franz;Arnold;m;UR;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1963-12-01;1947-12-01;
FAUX;Emil;Arnold;m;BS;CN;Non inscrit;Membre;Parti suisse du Travail;1953-06-01;1951-12-03;
FAUX;Josef;Arnold;m;UR;CN;;Membre;Conservateurs;1890-12-01;1865-07-04;
FAUX;Josef;Arnold;m;UR;CE;;Membre;Conservateurs;1865-06-02;1850-06-02;
FAUX;Emil;Arnold;m;BS;CN;Groupe du Parti du travail;Membre;Parti suisse du Travail;1953-06-01;1951-12-03;
FAUX;Johann Bartholome;Arpagaus;m;GR;CN;Centre;Membre;Conservateurs modérés;1854-12-04;1851-12-02;
FAUX;Johann Bartholome;Arpagaus;m;GR;CE;Centre;Membre;Conservateurs modérés;1861-07-02;1860-07-03;
VRAI;Sibel;Arslan;f;BS;CN;Groupe des Verts;Membre;Basels starke Alternative;;2015-11-30;
FAUX;Adolf;Ast;m;BL;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1935-12-01;1922-12-04;
FAUX;Pierre;Aubert;m;NE;CE;Groupe socialiste;Membre;Parti socialiste suisse;1977-12-07;1971-11-29;
FAUX;Josiane;Aubert;f;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;2011-12-04;2007-12-03;
FAUX;Jean-François;Aubert;m;NE;CE;Groupe libéral et évangélique;Membre;Parti libéral suisse;1987-11-29;1979-11-26;
FAUX;Josiane;Aubert;f;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;2014-06-01;2011-12-05;
FAUX;Jean-François;Aubert;m;NE;CN;Groupe libéral et évangélique;Membre;Parti libéral suisse;1979-11-25;1971-11-29;
FAUX;Josiane;Aubert;f;VD;CN;Groupe socialiste;Membre;Parti socialiste suisse;2007-12-02;2007-06-04;
FAUX;F.-Alfred-J.;Aubert;m;VD;CE;;Membre;Parti radical-démocratique suisse;1901-01-01;1900-12-03;
FAUX;Théodore;Aubert;m;GE;CN;Groupe libéral-démocratique;Membre;Parti libéral suisse;1939-12-03;1935-12-02;
FAUX;Pierre;Aubert;m;NE;CF;;;Parti socialiste suisse;1987-12-31;1977-12-07;
FAUX;Pierre-Ignace;Aubry;m;BE;CN;;Membre;Conservateurs;1854-12-04;1851-12-02;
FAUX;Geneviève;Aubry;f;BE;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1995-12-03;1979-11-26;
FAUX;Felix;Auer;m;BL;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1991-11-24;1971-11-29;
FAUX;F. Xaver J. K.;Auf der Mauer;m;SZ;CE;;Membre;Conservateurs;1861-12-02;1854-12-05;
FAUX;Dominik;Auf der Maur;m;SZ;CE;Groupe conservateur-catholique sociale;Président(e);Conservateurs;1967-12-03;1950-03-13;
FAUX;Dominik;Auf der Maur;m;SZ;CE;Groupe conservateur-catholique sociale;Membre;Conservateurs;1967-12-03;1950-03-13;
FAUX;Dominik;Auf der Maur;m;SZ;CE;Groupe conservateur-catholique;Membre;Conservateurs;1967-12-03;1950-03-13;
FAUX;Walter;Augsburger;m;BE;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1983-11-27;1967-12-04;
FAUX;André;Auroi;m;BE;CN;Groupe socialiste;Membre;Parti socialiste suisse;1967-12-03;1963-06-04;
FAUX;Caspar;Baader;m;BL;CN;Groupe de l'Union démocratique du Centre;Président(e);Union Démocratique du Centre;2007-12-02;2003-12-01;
